model,checkpoint_path,checkpoint_step,benchmark,pair_scope,matching_fields,target,count,mean,median,q10,q25,q75,q90,min,max
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,0,False,317210,0.03841689,0.0006914809,7.5271137e-06,6.1022296e-05,0.008581327,0.07860711,5.534468e-10,0.9969547
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,0,True,9,0.623101,0.76303154,0.016654272,0.59582156,0.900219,0.9486901,0.014065048,0.9993331
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,1,False,4320,0.3034037,0.13743311,0.0015306971,0.012556438,0.5727235,0.9065812,1.3823416e-05,0.99986315
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,1,True,36,0.91302735,0.98685974,0.7893503,0.9043946,0.99781907,0.9995738,0.28390384,0.9998503
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,2,False,725,0.42615622,0.32018435,0.0016784638,0.012885946,0.80279255,0.9855596,0.00018108662,0.99988914
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,2,True,451,0.9676623,0.9975254,0.91426307,0.9846955,0.9996221,0.99982893,0.35634568,0.9999869
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,3,False,3,0.99838907,0.9983891,0.9983891,0.9983891,0.9983891,0.9983891,0.9983891,0.9983891
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,3,True,1,0.99963236,0.99963236,0.99963236,0.99963236,0.99963236,0.99963236,0.99963236,0.99963236
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,4,True,855,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,0,False,351033,0.061065033,0.0016184049,1.27400635e-05,0.00011658847,0.022509232,0.17721562,2.6166582e-09,0.99962556
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,0,True,13,0.7148213,0.96116763,0.14398427,0.5246048,0.9942439,0.9953869,0.02485028,0.99847764
