model,checkpoint_path,checkpoint_step,benchmark,pair_scope,target,differing_fields,count,mean,median,q10,q25,q75,q90,min,max
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,"givenname, surname, suburb, postcode",317210,0.03841689,0.0006914809,7.5271137e-06,6.1022296e-05,0.008581327,0.07860711,5.534468e-10,0.9969547
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,"givenname, surname, postcode",2658,0.30729854,0.122740485,0.0017223697,0.013277672,0.54620445,0.92205554,1.5815558e-05,0.99900925
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,"surname, suburb, postcode",1345,0.31328923,0.17607407,0.0011833305,0.012766891,0.60145974,0.900374,1.3823416e-05,0.99986315
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,"givenname, surname",710,0.4140551,0.24296299,0.0016784638,0.010903547,0.79520875,0.9826927,0.00018108662,0.9988696
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,"givenname, suburb, postcode",186,0.21019536,0.08632938,0.0002796849,0.0037997651,0.37675545,0.58743334,8.2855404e-05,0.907838
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,"givenname, surname, suburb",131,0.25522187,0.10775021,0.00020077241,0.0043216255,0.44924644,0.77032894,2.375165e-05,0.9979818
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,"surname, postcode",15,0.99894243,0.99870574,0.99870574,0.99870574,0.99870574,0.99988914,0.99870574,0.99988914
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,surname,3,0.99838907,0.9983891,0.9983891,0.9983891,0.9983891,0.9983891,0.9983891,0.9983891
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,True,<none>,855,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,True,"suburb, postcode",105,0.996402,0.99958473,0.9897976,0.9969438,0.999749,0.9999286,0.95066595,0.99994516
