model,checkpoint_path,checkpoint_step,benchmark,pair_scope,n_records,n_entities,n_fields,candidate_pairs,prevalence,pr_auc,exact_positive_pair_rate,exact_negative_pair_rate,positive_median_probability,negative_median_probability
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,805,200,4,323610,0.0041778684218658265,0.941397595219124,0.632396449704142,0.0,0.9999887943267822,0.0007403708295896649
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,846,200,4,357435,0.004135017555639487,0.8876266930884925,0.44113667117726657,0.0,0.9998319149017334,0.0017094137147068977
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,2000,1500,5,1999000,0.0002501250625312656,0.2095151621494308,0.0,0.0,0.5492007732391357,0.00010897430183831602
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,2000,1500,5,1000,0.5,0.7076297774345383,0.0,0.0,0.5492007732391357,0.0370909720659256
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,695,200,14,241165,0.005419526050629237,0.49937573657583,0.0,0.0,0.9997074007987976,0.24253657460212708
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,1000,500,4,250000,0.002,0.8641822834223691,0.0,0.0,0.9999359846115112,0.017818104475736618
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,1619,500,4,564388,0.0020234306895256455,0.5472572882637617,0.0,0.0,0.9997864365577698,0.7646307945251465
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,224,112,5,12544,0.008928571428571428,0.8788629255105924,0.0,0.0,0.9997562170028687,0.0015410066116601229
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,1078,500,6,289365,0.0020043889205674493,0.41687263754500614,0.0,0.0,0.9999749660491943,0.9886890053749084
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,1080,500,4,290231,0.0019984081645310113,0.2297246654239036,0.005172413793103448,0.0,0.9999824166297913,0.9998688697814941
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,1080,500,5,290231,0.0019984081645310113,0.15977784409832557,0.0034482758620689655,0.0,0.999976634979248,0.99980229139328
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,805,200,4,323610,0.0041778684218658265,0.9375978154006003,0.632396449704142,0.0,0.9999630451202393,0.0005087329773232341
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_changed,all_pairs,846,200,4,357435,0.004135017555639487,0.8991543217805306,0.44113667117726657,0.0,0.999752938747406,0.0018660546047613025
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,2000,1500,5,1999000,0.0002501250625312656,0.17633788864448488,0.0,0.0,0.5575036406517029,0.00010690564522519708
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_paired,paired_rows,2000,1500,5,1000,0.5,0.7019982130371554,0.0,0.0,0.5575036406517029,0.028236757963895798
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,695,200,14,241165,0.005419526050629237,0.3849946981230773,0.0,0.0,0.9991247057914734,0.03547731041908264
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_acm,cross_source,1000,500,4,250000,0.002,0.9597021816182735,0.0,0.0,0.9999176263809204,0.0021567074581980705
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_google_scholar,cross_source,1619,500,4,564388,0.0020234306895256455,0.616684624392834,0.0,0.0,0.9995287656784058,0.5887948274612427
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,fodors_zagats,cross_source,224,112,5,12544,0.008928571428571428,0.8658945867774233,0.0,0.0,0.999443531036377,0.0011190270306542516
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,walmart_amazon,cross_source,1078,500,6,289365,0.0020043889205674493,0.2995303672446427,0.0,0.0,0.999920129776001,0.9629946351051331
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,1080,500,4,290231,0.0019984081645310113,0.16054826161222882,0.005172413793103448,0.0,0.999948263168335,0.9997414946556091
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_both,cross_source,1080,500,5,290231,0.0019984081645310113,0.08325259889538301,0.0034482758620689655,0.0,0.9999346733093262,0.9997100234031677
