model,checkpoint_path,checkpoint_step,benchmark,pair_scope,matching_fields,count_negative,count_positive,mean_negative,mean_positive,median_negative,median_positive,median_gap_positive_minus_negative
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,0,317210.0,9.0,0.03841689,0.623101,0.0006914809,0.76303154,0.76234007
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,1,4320.0,36.0,0.3034037,0.91302735,0.13743311,0.98685974,0.8494266
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,2,725.0,451.0,0.42615622,0.9676623,0.32018435,0.9975254,0.67734104
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,3,3.0,1.0,0.99838907,0.99963236,0.9983891,0.99963236,0.0012432337
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,4,,855.0,,0.9999888,,0.9999888,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,0,351033.0,13.0,0.061065033,0.7148213,0.0016184049,0.96116763,0.95954925
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,1,4305.0,48.0,0.4103609,0.91831726,0.30005094,0.9827187,0.68266773
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,2,619.0,763.0,0.4954223,0.964249,0.4807039,0.9983853,0.5176814
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,3,,2.0,,0.9999521,,0.9999521,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,4,,652.0,,0.9999888,,0.9999888,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,0,1691237.0,143.0,0.019495431,0.33411014,0.00010964494,0.12789027,0.12778063
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,1,302209.0,236.0,0.024201836,0.5255086,0.00010280593,0.60039765,0.6002948
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,2,5039.0,103.0,0.05734095,0.6943933,0.00046733604,0.9421737,0.94170636
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,3,14.0,16.0,0.35322237,0.8453148,0.2084114,0.99507344,0.78666204
