model,checkpoint_path,checkpoint_step,benchmark,pair_scope,variant,config_index,n_configs,field_types,manifest_field_types,candidate_pairs,error,roc_auc,pr_auc,oracle_pair_f1,oracle_pair_threshold
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,manifest,1,13,title:text; authors:text; venue:text; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9994240280561122,0.8641822834223691,0.8338081671415005,0.9998630285263062
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,all_text,2,13,title:text; authors:text; venue:text; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.9979111823647295,0.805960664879286,0.7716849451645065,0.9995228052139282
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,all_identifier,3,13,title:identifier; authors:identifier; venue:identifier; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.9979111823647295,0.805960664879286,0.7716849451645065,0.9995228052139282
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,all_categorical,4,13,title:categorical; authors:categorical; venue:categorical; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.7836611783567133,0.00950816698460306,0.04189560439560439,0.9955601692199707
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,title_as_identifier,5,13,title:identifier; authors:text; venue:text; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9994240280561122,0.8641822834223691,0.8338081671415005,0.9998630285263062
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,title_as_categorical,6,13,title:categorical; authors:text; venue:text; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.92369650501002,0.468209293549167,0.5140997830802602,0.9996153116226196
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,authors_as_identifier,7,13,title:text; authors:identifier; venue:text; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9994240280561122,0.8641822834223691,0.8338081671415005,0.9998630285263062
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,authors_as_categorical,8,13,title:text; authors:categorical; venue:text; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.8920935751503005,0.2654300058482502,0.3401162790697675,0.9999531507492065
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,venue_as_identifier,9,13,title:text; authors:text; venue:identifier; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9994240280561122,0.8641822834223691,0.8338081671415005,0.9998630285263062
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,venue_as_categorical,10,13,title:text; authors:text; venue:categorical; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9576162324649299,0.02515215764802609,0.05965632767751,0.9858933687210083
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,year_as_identifier,11,13,title:text; authors:text; venue:text; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.9979111823647295,0.805960664879286,0.7716849451645065,0.9995228052139282
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,year_as_numeric,12,13,title:text; authors:text; venue:text; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.9852609819639279,0.18433512299630633,0.26172465960665653,0.9999873638153076
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,year_as_date,13,13,title:text; authors:text; venue:text; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.9988863767535071,0.7484993307674604,0.7051039697542533,0.9998493194580078
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,manifest,1,13,title:text; authors:text; venue:text; year:text,title:text; authors:text; venue:text; year:text,564388,,0.9756913101393585,0.5472572882637617,0.5500794912559618,0.9998316764831543
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,all_identifier,2,13,title:identifier; authors:identifier; venue:identifier; year:identifier,title:text; authors:text; venue:text; year:text,564388,,0.9756913101393585,0.5472572882637617,0.5500794912559618,0.9998316764831543
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,all_categorical,3,13,title:categorical; authors:categorical; venue:categorical; year:categorical,title:text; authors:text; venue:text; year:text,564388,,0.6598152065560587,0.005698444299170069,0.02907149213883121,0.9910762310028076
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,title_as_identifier,4,13,title:identifier; authors:text; venue:text; year:text,title:text; authors:text; venue:text; year:text,564388,,0.9756913101393585,0.5472572882637617,0.5500794912559618,0.9998316764831543
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,title_as_categorical,5,13,title:categorical; authors:text; venue:text; year:text,title:text; authors:text; venue:text; year:text,564388,,0.7501898303599017,0.2462556944151594,0.32460732984293195,0.9999046325683594
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,authors_as_identifier,6,13,title:text; authors:identifier; venue:text; year:text,title:text; authors:text; venue:text; year:text,564388,,0.9756913101393585,0.5472572882637617,0.5500794912559618,0.9998316764831543
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,authors_as_categorical,7,13,title:text; authors:categorical; venue:text; year:text,title:text; authors:text; venue:text; year:text,564388,,0.7360503034720567,0.29466982627035854,0.3627741553052757,0.9998630285263062
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,venue_as_identifier,8,13,title:text; authors:text; venue:identifier; year:text,title:text; authors:text; venue:text; year:text,564388,,0.9756913101393585,0.5472572882637617,0.5500794912559618,0.9998316764831543
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,venue_as_categorical,9,13,title:text; authors:text; venue:categorical; year:text,title:text; authors:text; venue:text; year:text,564388,,0.6942185320374614,0.014473976911150627,0.03020354563361786,0.9997350573539734
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,year_as_identifier,10,13,title:text; authors:text; venue:text; year:identifier,title:text; authors:text; venue:text; year:text,564388,,0.9756913101393585,0.5472572882637617,0.5500794912559618,0.9998316764831543
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,year_as_categorical,11,13,title:text; authors:text; venue:text; year:categorical,title:text; authors:text; venue:text; year:text,564388,,0.9590901426994354,0.3960093055045053,0.4487743557510999,0.9999347925186157
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,year_as_numeric,12,13,title:text; authors:text; venue:text; year:numeric,title:text; authors:text; venue:text; year:text,564388,,0.760850458295176,0.15865883330400604,0.24175824175824173,0.9999880790710449
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,year_as_date,13,13,title:text; authors:text; venue:text; year:date,title:text; authors:text; venue:text; year:text,564388,,0.9649431571064875,0.4066983108943399,0.46135552913198574,0.9998898506164551
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,manifest,1,14,name:text; addr:text; city:text; phone:phone; type:text,name:text; addr:text; city:text; phone:phone; type:text,12544,,0.9984285944107372,0.8788629255105924,0.8450704225352113,0.9980999827384949
